,,,,,,,,,,
Test Identifier,Test Summary,Test Description,Precondition,Test Steps,Expected Result,Actual Results,UI / API,Status ,Tester,Defect ID
API_POST_CAT_ADM_001,,Verify if admin can create a category. ,- Admin token is available,"Method: POST
Endpoint: /api/categories
Headers: 
  Content-Type: application/json
  Authorization: Bearer <insert_admin_token_here>
Payload:
{
  ""name"": ""Roses""
}
Verify if HTTP 201; created category returned with ID",HTTP 201; created category returned with ID,"{""status"":201,""content"":{""id"":8,""name"":""Daisies"",""subCategories"":null}}",API,Passed,215527A,
API_GET_CAT_ADM_002,,Verify if admin can get a category by its ID.,- Admin token is available,"Method: GET
Endpoint: /api/categories/{id}
Headers: Authorization: Bearer <admin_token>
Verify if HTTP 200; returns the correct category object",HTTP 200; returns the correct category object,"{""status"":200,""content"":{""id"":8,""name"":""Daisies"",""parentId"":null}}",API,Passed,215527A,
API_POST_CAT_ADM_002,,Verify if admin can create a category with a missing name.,- Admin token is available,"Method: POST
Endpoint: /api/categories
Headers: 
  Content-Type: application/json
  Authorization: Bearer <admin_token>
Payload:
{}
Verify if HTTP 400; validation error returned.","HTTP 400; validation error returned.","{""status"":400,""content"":{""details"":{""name"":""Category name is mandatory""},""error"":""BAD_REQUEST"",""message"":""Validation failed"",""status"":400,""timestamp"":""2026-05-31T12:47:37.3585433""}}",API,Passed,215527A,
API_POST_AUTH_USR_001,,Verify that a normal user can log in with valid credentials and receive an auth token.,-None,"Method: POST
Endpoint: /api/auth/login
Headers: Content-Type: application/json
Payload:
{
  ""username"": ""user"",
  ""password"": ""user123""
}
Verify if HTTP 200; response contains auth token.",HTTP 200; response contains auth token.,"{""status"":200,""content"":{""token"":""eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0ZXN0dXNlciIsInJvbGVzIjpbIlJPTEVfVVNFUiJdLCJpYXQiOjE3ODAyMTE1NzAsImV4cCI6MTc4MDIxNTE3MH0.EsIFXo3FfUsk2PNev4DkJFqllgBmsa58UTSrtJzErmU"",""tokenType"":""Bearer""}}",API,Passed,215527A,
API_POST_AUTH_USR_002,,Verify that a login attempt with an incorrect password fails.,-None,"Method: POST
Endpoint: /api/auth/login
Headers: Content-Type: application/json
Payload:
{
  ""username"": ""user"",
  ""password"": ""wrongpassword""
}
Verify if HTTP 401; unauthorized error.",HTTP 401; unauthorized error.,"{""status"":401,""content"":{""status"":401,""error"":""UNAUTHORIZED"",""message"":""Unauthorized - Use Basic Auth or JWT""}}",API,Passed,215527A,
API_GET_CAT_USR_001,,Verify that a normal user with a valid token can retrieve the list of categories.,- user token is available,"Method: GET
Endpoint: /api/categories
Headers: Authorization: Bearer <user_token>
Verify if HTTP 200; list returned (read allowed)",HTTP 200; list returned (read allowed),"{""status"":200,""content"":{""value"":[{""id"":8,""name"":""Daisies"",""parentName"":""-""},{""id"":1,""name"":""Roses"",""parentName"":""-""},{""id"":2,""name"":""Succulents"",""parentName"":""Roses""},{""id"":3,""name"":""Tulips"",""parentName"":""-""}],""Count"":4}}",API,Passed,215527A,
API_POST_CAT_USR_001,,Verify that a normal user is restricted from creating a new category.,- user token is available,"Method: POST
Endpoint: /api/categories
Headers: 
  Content-Type: application/json
  Authorization: Bearer <user_token>
Payload:
{
  ""name"": ""New Category""
}
Verify if HTTP 403; access denied",HTTP 403; access denied,"{""status"":403,""content"":{""timestamp"":""2026-05-31T07:16:20.669+00:00"",""status"":403,""error"":""Forbidden"",""path"":""/api/categories""}}",API,Passed,215527A,
API_POST_AUTH_USR_003,,Verify that a login request with an empty body fails validation.,,"Method: POST
Endpoint: /api/auth/login
Headers: Content-Type: application/json
Payload:
{}
Verify if HTTP 401; unauthorized error.",HTTP 401; unauthorized error.,"{""status"":401,""content"":{""status"":401,""error"":""UNAUTHORIZED"",""message"":""Unauthorized - Use Basic Auth or JWT""}}",API,Passed,215527A,
,,,,,,,,,,
UI_CAT_ADM_004,,"Verify the funcionality and clickability of the button ""Add A Category"" when admin wants to create a category","- Login as an admin user
- Admin is on Category List Page
- Visibility of ""Add a Category"" button","1. Login as an admin 
2. Redirected to Dashboard 
3. Select Categories in the navigation bar 
4. Click on ""Add A Category"" button on Categories page","1. Clickable button 
2. Redirect to add Categories page","1. Clickable button 
2. Redirect to add Categories page",UI,Passed,215564H,
UI_CAT_ADM_005,,Verify adding a name for the new category when creating a new category by admin,"- Login as an admin user
- Admin is on Category List Page
- Visibility of ""Add a Category"" button
- Admin is on Add Category Page","1. Login as an admin
2. Redirected to Dashboard
3. Select Categories in the navigation bar 
4. Click on ""Add A Category"" button on Categories page
5. Add a category name (lenght of >=3 and < =10)",Able to add a name for the category,Able to add a name for the category,UI,Passed,215564H,
UI_CAT_ADM_006,,"Verify the functionality and clickability of the ""Cancel"" button when admin want to cancel the adding a new category","- Login as an admin user
- Admin is on Category List Page
- Visibility of ""Add a Category"" button
- Admin is on Add Category Page
- Visibility of ""Cancel"" button","1. Login as an admin
2. Redirected to Dashboard 
3. Select Categories in the navigation bar 
4. Click on ""Add A Category"" button on Categories page
5. Click the ""Cancel"" button on Add Category Page","1. Clickable button 
2. Redirects to Categories page","1. Clickable button 
2. Redirects to Categories page",UI,Passed,215564H,
UI_CAT_ADM_007,,"Verify with saving the new category with the added name by the admin using the ""Save"" button","- Login as an admin user
- Admin is on Category List Page
- Visibility of ""Add a Category"" button
- Admin is on Add Category Page","1. Login as an admin
2. Redirected to Dashboard 
3. Select Categories in the navigation bar 
4. Click on ""Add A Category"" button on Categories page
5. Add a name and select Main Category in Parent Category
6. Click on ""Save"" button","1. Clickable button 
2. Saves the category 
3. Redirects to Categories page
4. Shows the saved category in the Category list","1. Clickable button 
2. Saves the category 
3. Redirects to Categories page
4. Shows the saved category in the Category list",UI,Passed,215564H,
UI_CAT_ADM_008,,Verify by creating a sub category by selecting a parent category in the Parent category dropdown list by admin in the section of add category,"- Login as an admin user
- Admin is on Category List Page
- Visibility of ""Add a Category"" button
- Admin is on Add Category Page","1. Login as an admin
2. Redirected to Dashboard 
3. Select Categories in the navigation bar 
4. Click on ""Add A Category"" button on Categories page
5. Add a name
6. Select a parent category
6. Click on ""Save"" button",Sub category should show with the parent category in the Category List,Sub category should show with the parent category in the Category List,UI,Passed,215564H,
UI_CAT_USR_002,,"Verify for non admin user, “No category found” shown when category list is empty","- Login as a non admin user
- Non admin user is on Category List Page","1. Login as a non admin user
2. Redirect to dashboard
3. Select Categories in the navigation","If no categories found should display ""No category found""","If no categories found should display ""No category found""",UI,Passed,215564H,
UI_CAT_USR_003,,Verify whether non admin user cannot edit or delete categories in the Category List,"- Login as a non admin user
- Non admin user is on Category List Page","1. Login as a non admin user
2. Redirect to dashboard
3. Select Categories in the navigation
4. Check whether the action buttons edit and delete is disable not clickable.",Disabled edit and delete buttons,Disabled edit and delete buttons,UI,Failed,215564H,
UI_PLT_USR_001,,Verify whether non admin users can view the plant list,"- Login as a non admin user
- Non admin user is on Plants Page","1. Login as a non admin user
2.Redirect to dashboard
3. Select Plants in the navigation",Displays the Plan List in the page as a table,Displays the Plan List in the page as a table,UI,Passed,215564H,
UI_PLT_USR_002,,"Verify whether the non admin user does not see ""Add a Plant"" button","- Login as a non admin user
- Non admin user is on Plants Page","1. Login as a non admin user
2.Redirect to dashboard
3. Select Plants in the navigation","""Add a Plant"" button should not be visible","""Add a Plant"" button should not be visible",UI,Passed,215564H,
UI_PLT_USR_003,,Verify whether the non admin user can search a relevant a plant,"- Login as a non admin user
- Non admin user is on Plants Page","1. Login as a non admin user
2.Redirect to dashboard
3. Select Plants in the navigation
4. Enter a plant name in the ""Search plant"" textbox
5. Click on ""Search Button""",Shows the specific plant search,When searching with 2 words no results given,UI,Failed,215564H,
API_PUT_CAT_ADM_001,,Verify that the admin is able to update details of a category,- Admin token is available,"1. Prepare a Put request to /api/categories/{id} with following body
{
  ""name"": ""string"",
  ""parentId"": o
}
2. Set Authorization header with admin token
3. Send PUT request
4. Capture response
5. Observe the response matches the expected in Swagger UI","1. The API response code is 200
2. The response body should be as follows:
{
  ""id"": 0,
  ""name"": ""Anthurium"",
  ""parent"": ""string"",
  ""subCategories"": [
    ""string""
  ]
}
3. Category should be updated in the database","1. The API response code is 200
2. The response body should be as follows:
{
  ""id"": 0,
  ""name"": ""Anthurium"",
  ""parent"": ""string"",
  ""subCategories"": [
    ""string""
  ]
}
3. Category should be updated in the database",API,Passed,215564H,
API_DEL_CAT_ADM_001,,Verify that the admin is able to delete a category,- Admin token is available,"1. Prepare a DELETE request to /api/categories/{id} where {id} is the category id
2. Set Authorization header with admin token
3. Send DELETE request
4. Capture and match response with Swagger UI
5. Confirm via GET /api/categories/{id}","1. API should return status code 204 (No content)
2. Response body should be empty
3. Subsequent GET requests to /api/categories/{id} should return 404 (Not Found)
4. Category with {id} should be permanently deleted from the database","1. API should return status code 204 (No content)
2. Response body should be empty
3. Subsequent GET requests to /api/categories/{id} should return 404 (Not Found)
4. Category with {id} should be permanently deleted from the database",API,Passed,215564H,
API_POST_CAT_ADM_003,,Verify that the admin cannot create a category name less than 3 characters,- Admin token is available,"1. Prepare a POST request to /api/categories with following body
{
  ""id"": 0,
  ""name"": ""XX"",
  ""parent"": ""string"",
  ""subCategories"": [
    ""string""
  ]
}
2. Set Authorization header with admin token
3. Send Post request
4. Capture response
5. Observe the response matches the expected in Swagger UI","1. The API response code is 400
2. The response body should be as follows:
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""Category name must be between 3 and 10 characters"",
  ""timestamp"": ""2026-05-21T17:13:32.791Z""
}
3. Category should not be created in the database","1. The API response code is 400
2. The response body should be as follows:
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""Category name must be between 3 and 10 characters"",
  ""timestamp"": ""2026-05-21T17:13:32.791Z""
}
3. Category should not be created in the database",API,Passed,215564H,
API_POST_CAT_ADM_004,,Verify that the admin cannot create a category name more than 10 characters,- Admin token is available,"1. Prepare a POST request to /api/categories with following body
{
  ""id"": 0,
  ""name"": ""XXXXXXXXXXX"",
  ""parent"": ""string"",
  ""subCategories"": [
    ""string""
  ]
}
2. Set Authorization header with admin token
3. Send Post request
4. Capture response
5. Observe the response matches the expected in Swagger UI","1. The API response code is 400
2. The response body should be as follows:
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""Category name must be between 3 and 10 characters"",
  ""timestamp"": ""2026-05-21T17:13:32.791Z""
}
3. Category should not be created in the database","1. The API response code is 400
2. The response body should be as follows:
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""Category name must be between 3 and 10 characters"",
  ""timestamp"": ""2026-05-21T17:13:32.791Z""
}
3. Category should not be created in the database",API,Passed,215564H,
API_GET_PLT_ADM_001,,Verify that the admin can view all the plants in the Plant Page,- Admin token is available,"1. Prepare a GET request to /api/plants
2. Set Authorization header with admin token
3. Send the GET request
4. Capture and match the response with the example response in Swagger UI","1. API should return status code 200 (OK)
2. Response body should be an array of 
{
  ""id"": 0,
  ""name"": ""Anthurium"",
  ""price"": 150,
  ""quantity"": 25,
  ""category"": {
    ""id"": 0,
    ""name"": ""Anthurium"",
    ""parent"": ""string"",
    ""subCategories"": [
      ""string""
    ]
  }
}","1. API should return status code 200 (OK)
2. Response body should be an array of 
{
  ""id"": 0,
  ""name"": ""Anthurium"",
  ""price"": 150,
  ""quantity"": 25,
  ""category"": {
    ""id"": 0,
    ""name"": ""Anthurium"",
    ""parent"": ""string"",
    ""subCategories"": [
      ""string""
    ]
  }
}",API,Passed,215564H,
API_PUT_CAT_USR_001,,Verify non admin user cannot update details of a category in the Categories Page,- User token is available,"1. Prepare a Put request to /api/categories/{id} with following body
{
  ""name"": ""string"",
  ""parentId"": o
}
2. Set Authorization header with user token
3. Send PUT request
4. Capture response
5. Observe the response matches the expected in Swagger UI","1. The API response code is 403 (Forbidden)
2. The response body should be as follows:
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T18:49:13.636Z""
}
3. Category will not be created","1. The API response code is 403 (Forbidden)
2. The response body should be as follows:
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T18:49:13.636Z""
}
3. Category will not be created",API,Passed,215564H,
API_DEL_CAT_USR_001,,Verify non admin user cannot delete a category in the Categories Page,- User token is available,"1. Prepare a DELETE request to /api/categories/{id} where {id} is the category id
2. Set Authorization header with user token
3. Send DELETE request
4. Capture and match response with Swagger UI
5. Confirm via GET /api/categories/{id}","1. API should return status code 403 (Forbidden)
2. Response body should be,
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T18:52:34.025Z""
}
3. Category with {id} will not be deleted","1. API should return status code 403 (Forbidden)
2. Response body should be,
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T18:52:34.025Z""
}
3. Category with {id} will not be deleted",API,Passed,215564H,
API_GET_PLT_USR_001,,Verify that a non-admin user can see all plants in Plants Page,- User token is available,"1. Prepare a GET request to /api/plants
2. Set Authorization header with user token
3. Send the GET request
4. Capture and match the response with the example response in Swagger UI","1. API should return status code 200 (OK)
2. Response body should be an array of 
{
  ""id"": 0,
  ""name"": ""Anthurium"",
  ""price"": 150,
  ""quantity"": 25,
  ""category"": {
    ""id"": 0,
    ""name"": ""Anthurium"",
    ""parent"": ""string"",
    ""subCategories"": [
      ""string""
    ]
  }
}","1. API should return status code 200 (OK)
2. Response body should be an array of 
{
  ""id"": 0,
  ""name"": ""Anthurium"",
  ""price"": 150,
  ""quantity"": 25,
  ""category"": {
    ""id"": 0,
    ""name"": ""Anthurium"",
    ""parent"": ""string"",
    ""subCategories"": [
      ""string""
    ]
  }
}",API,Passed,215564H,
API_GET_PLT_USR_002,,Verify that a non-admi user can get a plant by ID in the Plant Page,- User token is available,"1. Prepare a GET request to /api/plants/{id}
2. Set Authorization header with user token
3. Send GET request
4. Capture and compare the response with example in Swagger UI","1. API should return status code 200 (OK)
2. Response body should be as follows
{
  ""id"": 0,
  ""name"": ""string"",
  ""price"": 0,
  ""quantity"": 0,
  ""categoryId"": 0
}","1. API should return status code 200 (OK)
2. Response body should be as follows
{
  ""id"": 0,
  ""name"": ""string"",
  ""price"": 0,
  ""quantity"": 0,
  ""categoryId"": 0
}",API,Passed,215564H,
API_POST_PLT_USR_001,,Verify that a non-admin user cannot create a plant,- User token is available,"1. Prepare a POST request to /api/plants/category/{categoryId} with following body
{
  ""id"": 0,
  ""name"": ""Anthurium"",
  ""price"": 150,
  ""quantity"": 25,
  ""category"": {
    ""id"": 0,
    ""name"": ""Anthurium"",
    ""parent"": ""string"",
    ""subCategories"": [
      ""string""
    ]
  }
}
2. Set Authorization header with user token
3. Send Post request
4. Capture response
5. Observe the response matches the expected in Swagger UI","1. The API response code is 403 (Forbidden)

2. The response body should be as follows:
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T19:03:33.964Z""
}

3. Plant should not be created","1. The API response code is 403 (Forbidden)

2. The response body should be as follows:
{
  ""status"": 0,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T19:03:33.964Z""
}

3. Plant should not be created",API,Passed,215564H,
,,,,,,,,,,
UI_PLT_ADM_001,,Verify that admin users should be able to add a new plant with valid data,"- Login as an admin user
- Sub-category ""SpiderAloe"" should be present","1. Login as an admin user
2. Admin user gets redirected to dashboard
3. Select ""Plants"" in navigation
4. Click ""Add a Plant"" button
5. Enter plant name ""Aloe Blue Elf"" and category ""Spider Aloe"" and Price ""10.00"" and quanity ""10""
6. Click ""Save"" button","1. Plant name entered
2. Plant category selected
3. Plant price entered
4. Plant quantity entered
5. ""Save"" button is clicked
6. Admin user gets redirected to ""/ui/plants""
7. Shown the ""Plant added successfully"" message","Admin user gets redirected to ""/ui/plants"" successfully and ""Plant added successfully"" message is shown",UI,Passed,215565L,
UI_PLT_ADM_002,,"Verify that admin users get redirected to ""/ui/plants"" page when click ""cancel"" at ""/ui/plants/add"" page",- Login as an admin user,"1. Login as an admin user
2. Admin user gets redirected to dashboard
3. Select ""Plants"" in navigation
4. Click ""Add a Plant"" button
5. Click ""Cancel"" button","1. ""Cancel"" button is clicked
2. Admin user gets redirected to ""/ui/plants"" page","Admin user gets redirected to ""/ui/plants"" page",UI,Passed,215565L,
UI_PLT_ADM_003,,Verify that category in plants page is a subcategory ,- Login as an admin user,"1. Login as an admin user
2. Admin user redirected to dashboard
3. Select ""Plants"" in navigation
4. Click ""Add a Plant"" button
5. Check the dropdown under category field",Dropdown contains only the subcategories,Dropdown contains only the subcategories,UI,Passed,215565L,
UI_PLT_ADM_004,,Verify that admin users can't add a plant with zero price,- Login as an admin user,"1. Login as an admin user
2. Admin user redirected to dashboard
3. Select ""Plants"" in navigation
4. Click ""Add a Plant"" button
5. Enter plant name ""Aloe Blue Elf 2"" and category ""Spider Aloe"" and Price ""0.00"" and quanity ""10""
6. Click ""Save"" Button","1. Plant name entered
2. Plant category selected
3. Plant price entered
4. Plant quantity entered
5. ""Save"" button is clicked
6. ""Price must be greater than 0"" validation error message shown under the field in red colour
7. Plant is not created
8. Admin user remains in the same page",Plant is not created and Admin user remains in the same page,UI,Passed,215565L,
UI_PLT_ADM_005,,Verify that admin user can't delete a plant that has a sales record,"- Log in as an admin user
- Have the plant ""Test Plant""
- Have a sales record with ""Test Plant""","1. Login as an admin user
2. Admin user redirected to dashboard
3. Select ""Plants"" in navigation
4. Click on delete icon on ""Test Plant""",The system should prevent deletion and display an appropriate message indicating that the plant cannot be deleted.,The application redirects to the default Spring Boot Whitelabel Error Page displaying an Internal Server Error (HTTP 500). An appropiate message is not shown.,UI,Failed,215565L,BUG-006
UI_PLT_USR_004,,Verify that user blocked from Add Plant page,- Login as a non-admin user,"1. Login as a non-admin user
2. User redirected to dashboard
3. Select ""Plants"" in navigation
4. Check for ""Add a Plant"" button
5. Additionally check navigating to /ui/plants/add","1. No visible ""Add a Plant"" button
2. Navigating to /ui/plants/add displays a ""Access Denied"" message","1. No visible ""Add a Plant"" button
2. Navigating to /ui/plants/add displays a ""Access Denied"" message",UI,Passed,215565L,
UI_PLT_USR_005,,Verify that user can view the sales page,"- Login as a non-admin user
- Sales has at least one record","1. Login as a non-admin user
2. User redirected to dashboard
3. Click on ""Sales"" in navigation
4. Check for Sales entires on the page","1. Sales page loads for the user
2. Sales list is displayed in a table with at least one record ","1. Sales page loads for the user
2. Sales list is displayed in a table with at least one record ",UI,Passed,215565L,
UI_PLT_USR_006,,"Verify that user does not see the ""Sell Plant"" button",- Login as a non-admin user,"1. Login as a non-admin user
2. User redirected to dashboard
3. Select ""Sales"" in navigation
4. Check the visibility of the button ""Sell Plant""","""Sell Plant"" button is not visible","""Sell Plant"" button is not visible",UI,Passed,215565L,
UI_PLT_USR_007,,Verify that user does not see the delete button on sales rows,"- Login as a non-admin user
- Sales has at least one record","1. Login as a non-admin user
2. User redirected to dashboard
3. Select ""Sales"" in navigation
4. Check visibility of delete button on a record",No delete buttons visible on sales table rows,No delete buttons visible on sales table rows,UI,Passed,215565L,
UI_PLT_USR_008,,Verify that empty sales list displays a message,"- Login as a non-admin user
- Sales has no records","1. Login as a non-admin user
2. User redirected to dashboard
3. Select ""Sales"" in navigation
4. Check for the empty message","""No sales found"" message is displayed","""No sales found"" message is displayed",UI,Passed,215565L,
API_POST_PLT_ADM_001,,Verify that admin creates a valid plant with valid category id,"- Admin token is available
- Category with id=5 exists
- Category with id=5 is not a parent category
- Category with id=5 does not have subcategories
- Category with id=5 is ""SpiderAloe""
- ""SpiderAloe"" parent is ""Aloe""","1. Prepare a POST request to /api/plants/category/5 with following body
{
  ""name"": ""SpecialAloe"",
  ""price"": 150,
  ""quantity"": 25
}

2. Set Authorization header with admin token
3. Send POST request
4. Capture response
5. Observe the response matches the expected in Swagger UI","1. The API response code is 201

2. The response body should be as follows:
{
  ""id"": <auto-incremented-int-id>,
  ""name"": ""SpecialAloe"",
  ""price"": 150,
  ""quantity"": 25,
  ""category"": {
    ""id"": 5,
    ""name"": ""SpiderAloe"",
    ""parent"": ""Aloe"",
    ""subCategories"": []
  }
}

NOTE: example ""id"": 6

3. Plant should be created in the database","1. The API response code is 201

2. The response body is as follows:
{
  ""id"": <auto-incremented-int-id>,
  ""name"": ""SpecialAloe"",
  ""price"": 150,
  ""quantity"": 25,
  ""category"": {
    ""id"": 5,
    ""name"": ""SpiderAloe"",
    ""parent"": ""Aloe"",
    ""subCategories"": []
  }
}

3. Plant is created in the database",API,Passed,215565L,
API_POST_PLT_ADM_002,,Verify that admin creating a duplicate plant with same name fails,"- Admin token is available
- Category with id=5 exists
- Category with id=5 is not a parent category
- Plant with name ""TestAloe"" alrady exist","1. Prepare a POST request to /api/plants/category/5 with following body
{
  ""name"": ""TestAloe"",
  ""price"": 150,
  ""quantity"": 25
}

2. Set Authorization header with admin token
3. Send POST request
4. Capture response
5. Check response matches the error response in Swagger UI","1. Response code is 400; invalid request

2. Response body should be as follows:
{
  ""status"": 400,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-20T23:25:47.936Z""
}

3. Plant should not have been created in the database","Status code is 400 with response body:

{
  ""status"": 400,
  ""error"": ""DUPLICATE_RESOURCE"",
  ""message"": ""Plant 'TestAloe' already exists in this category"",
  ""timestamp"": ""2026-06-12T01:11:57.0215167""
}",API,Passed,215565L,
API_POST_PLT_ADM_003,,Verify that admin creating a plant with negative quantity fails,"- Admin token is available
- Category with id=5 exists
- Category with id=5 is not a parent category
- Plant with name ""TestAloe"" doen not exist","1. Prepare a POST request to /api/plants/category/5 with following body
{
  ""name"": ""TestAloe"",
  ""price"": 150,
  ""quantity"": -1
}

2. Set Authorization header with admin token
3. Send POST request
4. Capture and check response matches with swagger error response example","1. Response code is 400 (Invalid request)

2. Response body should be as follows:
{
  ""status"": 400,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T00:05:24.376Z""
}

3. Plant should not have been created in the database","Response code is 400 with following response body:

{
  ""details"": {
    ""quantity"": ""Quantity cannot be negative""
  },
  ""error"": ""BAD_REQUEST"",
  ""message"": ""Validation failed"",
  ""status"": 400,
  ""timestamp"": ""2026-06-12T01:13:03.9925786""
}",API,Passed,215565L,
